# SDSS DR17 Sample Data
# Sample photometric and spectroscopic objects for testing
# Columns: objid, ra, dec, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, z, zErr, specClass, subClass, pmra, pmdec, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,z,zErr,specClass,subClass,pmra,pmdec,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
1237648720693755918,185.7253,15.8234,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
1237648720693755919,186.3421,14.2341,19.45,18.12,17.65,17.42,17.31,0.1543,0.0003,GALAXY,AGN,0.8,-2.1,0.051,0.037,0.026,0.019,0.015
1237648720693755920,187.5632,16.7823,15.67,14.23,13.89,13.67,13.54,0.0012,0.0001,STAR,K0,-12.3,8.7,0.038,0.028,0.020,0.015,0.011
1237648720693755921,188.2134,15.1234,20.12,18.76,18.23,17.98,17.85,0.2876,0.0005,GALAXY,STARBURST,1.5,-0.9,0.042,0.030,0.022,0.016,0.012
1237648720693755922,189.4567,17.3456,17.89,16.45,15.98,15.76,15.63,0.0456,0.0002,GALAXY,NORMAL,-0.5,1.2,0.048,0.035,0.025,0.018,0.014
1237648720693755923,190.1234,14.8765,16.34,14.87,14.45,14.23,14.10,0.0089,0.0001,STAR,G2,23.4,-15.6,0.040,0.029,0.021,0.015,0.012
1237648720693755924,191.5678,16.2345,21.45,19.98,19.45,19.21,19.08,0.4523,0.0008,GALAXY,AGN,0.3,-1.8,0.046,0.033,0.024,0.017,0.013
1237648720693755925,192.3456,15.6789,18.76,17.34,16.87,16.65,16.52,0.0987,0.0003,GALAXY,NORMAL,2.1,4.5,0.044,0.032,0.023,0.016,0.013
1237648720693755926,193.2345,17.8901,14.23,12.76,12.34,12.12,11.99,0.0023,0.0001,STAR,M1,-8.9,12.3,0.037,0.027,0.019,0.014,0.011
1237648720693755927,194.5678,14.5678,19.87,18.43,17.98,17.76,17.63,0.1876,0.0004,GALAXY,STARBURST,-0.8,2.7,0.049,0.036,0.026,0.019,0.014
1237648720693755928,195.8901,16.4567,16.78,15.34,14.89,14.67,14.54,0.0345,0.0002,GALAXY,NORMAL,1.9,-3.2,0.041,0.030,0.021,0.016,0.012
1237648720693755929,196.1234,15.2345,22.34,20.87,20.34,20.12,19.99,0.5678,0.0010,GALAXY,QSO,-0.2,0.5,0.047,0.034,0.024,0.018,0.013
1237648720693755930,197.4567,17.6789,15.89,14.45,14.01,13.79,13.66,0.0067,0.0001,STAR,F8,34.5,-28.9,0.039,0.028,0.020,0.015,0.011
1237648720693755931,198.7890,14.8901,20.56,19.12,18.67,18.45,18.32,0.3245,0.0006,GALAXY,AGN,0.7,1.4,0.045,0.033,0.023,0.017,0.013
1237648720693755932,199.1234,16.1234,17.45,16.01,15.56,15.34,15.21,0.0678,0.0002,GALAXY,NORMAL,-1.8,2.9,0.043,0.031,0.022,0.016,0.012
1237648720693755933,200.4567,15.5678,13.67,12.23,11.79,11.57,11.44,0.0015,0.0001,STAR,A0,45.6,-37.8,0.036,0.026,0.019,0.014,0.010
1237648720693755934,201.7890,17.2345,21.23,19.78,19.34,19.12,18.99,0.4012,0.0007,GALAXY,STARBURST,0.4,-2.3,0.050,0.036,0.026,0.019,0.014
1237648720693755935,202.1234,14.6789,18.34,16.89,16.45,16.23,16.10,0.1234,0.0003,GALAXY,NORMAL,2.5,3.8,0.042,0.031,0.022,0.016,0.012
1237648720693755936,203.4567,16.8901,16.12,14.67,14.23,14.01,13.88,0.0234,0.0001,STAR,K5,-19.8,24.5,0.038,0.028,0.020,0.015,0.011
1237648720693755937,204.7890,15.3456,19.65,18.21,17.76,17.54,17.41,0.2134,0.0005,GALAXY,AGN,-0.9,1.6,0.046,0.034,0.024,0.018,0.013
