# SDSS DR17 Sample Data - Edge Cases for Stage 2 Validation Testing
# Test cases: missing fields, invalid coordinates, bad magnitudes, negative redshift, etc.
objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,z,zErr,specClass,subClass,pmra,pmdec,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
# Valid record
1237648720693755918,185.7253,15.8234,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# Missing RA (should error)
1237648720693755950,,15.8234,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# Invalid RA (> 360)
1237648720693755951,400.0,15.8234,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# Invalid Dec (< -90)
1237648720693755952,185.7253,-95.0,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# No magnitudes (should error)
1237648720693755953,185.7253,15.8234,,,,,,,,,,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# Negative magnitude (should error)
1237648720693755954,185.7253,15.8234,-5.0,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# Very bright (should warn)
1237648720693755955,185.7253,15.8234,2.5,2.3,2.1,1.9,1.8,0.0001,0.0001,STAR,A0,45.6,-37.8,0.036,0.026,0.019,0.014,0.010
# Very faint (should warn)
1237648720693755956,185.7253,15.8234,31.5,31.2,30.9,30.7,30.5,0.5678,0.0010,GALAXY,QSO,-0.2,0.5,0.047,0.034,0.024,0.018,0.013
# Negative redshift (should error)
1237648720693755957,185.7253,15.8234,18.23,16.87,16.21,15.98,15.87,-0.1,0.0001,GALAXY,STARBURST,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
# Very high redshift (should warn)
1237648720693755958,185.7253,15.8234,18.23,16.87,16.21,15.98,15.87,8.5,0.0001,GALAXY,QSO,-0.2,0.5,0.047,0.034,0.024,0.018,0.013
# Negative extinction (should error)
1237648720693755959,185.7253,15.8234,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,GALAXY,STARBURST,-1.2,3.4,-0.045,0.032,0.023,0.017,0.013
# Invalid spectral class (should warn)
1237648720693755960,185.7253,15.8234,18.23,16.87,16.21,15.98,15.87,0.0234,0.0001,ALIEN,UNKNOWN,-1.2,3.4,0.045,0.032,0.023,0.017,0.013
